DateTime (UTC),Wallets,Bad Value,,,,,
2023-12-06 11:51,0xeb79645798ca3059ea21079d6c17bd997a71823a,"2,146,636,640",,,,,
2023-12-06 11:51,0xcace4918504d362efb84bcf0696a623cfbd5cd52,"2,146,636,640",,,,,
2023-12-06 11:51,0x9965ec9708c27650fc8007642dba5ff3368f1f2e,"2,146,636,640",,,,,
2023-12-06 11:51,0xd368d6068915fbb1a698c2aa8847b1244c213b24,"2,146,636,640",,,,,
2023-12-06 11:51,0x37e978de476a5cce45ae3e20b1300602c13b8f86,"2,146,636,640",,,,,
2023-12-06 11:51,0x52de1683ec3d33c80f79539cf71b19d100f4d4ca,"2,146,636,640",,,,SHUB TOP WALLETS,
2023-12-06 11:51,0xd25cceb69ad23c15996ef4ec3d6816c9e56abc8a,"2,146,636,640",,,,,
2023-12-06 11:51,0x0dcde997e857e34a9169b320087d4bd3c4eb5d2a,"2,146,636,640",,,,,
2023-12-06 11:51,0xcb59a0d2bcc9064bdce6f369d7fc2cbe515c498d,"2,146,636,640",,,,,
2023-12-06 11:51,0x495d348fd817c1104f1d4d26e2620f94edcaf067,"2,146,636,640",,,,,
2023-12-06 11:51,0xa51e11948cccc56bbbc8ed3fe0c4c08214aff46e,"2,146,636,640",,,,,
2023-12-06 11:51,0x7a798aef4c08df44c074346712b10fa6c0595786,"2,146,636,640",,,,,
2023-12-06 11:51,0xa0d90dd1ff2f8d7b6a15dd3b4c7f78fe5cba1702,"2,146,636,640",,,,,
2023-12-06 11:51,0xf3cb2537d88f228be255eff02743314a40b3d414,"2,146,636,640",,,,,
2023-12-06 11:51,0x8e4b612fa25b516b465cf971684ae8fe55022e5f,"2,146,636,640",,,,,
2023-12-06 11:51,0x5478755b727ca25c5eec80d4d4ba6787de4214d3,"2,146,636,640",,,,,
2023-12-06 11:51,0x647082f113e47cc5ec7914ff59c59dd3ea9c1a4f,"2,146,636,640",,,,,
2023-12-06 11:51,0xab9e99f5037a088d904549fd49d70ec2bf999655,"2,146,636,640",,,,,
2023-12-06 11:51,0x07b1f457a31d38daef50a55c6fcd402ed6d8cf88,"2,146,636,640",,,,,
2023-12-06 11:51,0xecf544949f0dbe0da3729bfcabb6375aeb1e7415,"779,352,155",,,,,
2023-12-06 11:51,0x9e38f37780dffa9060480161999b138f27017932,"779,352,155",,,,,
2023-12-06 11:51,0x421031f15b9ea1458d491405a2debec8ba0d7179,"779,352,155",,,,,
2023-12-06 11:51,0x77053ade6a1fd06ed5fc20dd35a64111b5ace13d,"779,352,155",,,,,
2023-12-06 11:51,0xfa31dd40bd4e729e4c694e449c3868e78f14e720,"779,352,155",,,,,
2023-12-06 11:51,0xa08101f7c4e38e54e709d099667ba46dd8a1d33c,"779,352,155",,,,,
